Brand,Category,Unnamed: 2,text,Predicted_Category
Zara,Shopping,,Bought in Zara for 100,Shopping
H&M,Shopping,,Bought in H&M for 100,Shopping
Forever 21,Shopping,,Bought in Forever 21 for 100,Shopping
Biba,Shopping,,Bought in Biba for 100,Shopping
Pantaloons,Shopping,,Bought in Pantaloons for 100,Shopping
Nike,Shopping,,Bought in Nike for 100,Shopping
Adidas,Shopping,,Bought in Adidas for 100,Shopping
Puma,Shopping,,Bought in Puma for 100,Shopping
Levi's,Shopping,,Bought in Levi's for 100,Shopping
Louis Vuitton,Shopping,,Bought in Louis Vuitton for 100,Shopping
Gucci,Shopping,,Bought in Gucci for 100,Shopping
Mango,Shopping,,Bought in Mango for 100,Food / Dining
Marks & Spencer,Shopping,,Bought in Marks & Spencer for 100,Shopping
Sephora,Shopping,,Bought in Sephora for 100,Shopping
Flipkart,Shopping,,Bought in Flipkart for 100,Shopping
Amazon,Shopping,,Bought in Amazon for 100,Entertainment
Myntra,Shopping,,Bought in Myntra for 100,Shopping
ASOS,Shopping,,Bought in ASOS for 100,Shopping
Shein,Shopping,,Bought in Shein for 100,Shopping
Coach,Shopping,,Bought in Coach for 100,Shopping
Michael Kors,Shopping,,Bought in Michael Kors for 100,Shopping
Prada,Shopping,,Bought in Prada for 100,Shopping
FabIndia,Shopping,,Bought in FabIndia for 100,Shopping
W for Woman,Shopping,,Bought in W for Woman for 100,Shopping
Manyavar,Shopping,,Bought in Manyavar for 100,Shopping
Shoppers Stop,Shopping,,Bought in Shoppers Stop for 100,Shopping
Westside,Shopping,,Bought in Westside for 100,Shopping
Lifestyle,Shopping,,Bought in Lifestyle for 100,Shopping
Reliance Trends,Shopping,,Bought in Reliance Trends for 100,Shopping
Max Fashion,Shopping,,Bought in Max Fashion for 100,Shopping
H&M India,Shopping,,Bought in H&M India for 100,Shopping
Zara India,Shopping,,Bought in Zara India for 100,Shopping
Forever 21,Shopping,,Bought in Forever 21 for 100,Shopping
Marks & Spencer India,Shopping,,Bought in Marks & Spencer India for 100,Shopping
Nike India,Shopping,,Bought in Nike India for 100,Shopping
Adidas India,Shopping,,Bought in Adidas India for 100,Shopping
Puma India,Shopping,,Bought in Puma India for 100,Shopping
Reebok India,Shopping,,Bought in Reebok India for 100,Shopping
Woodland,Shopping,,Bought in Woodland for 100,Shopping
Bata,Shopping,,Bought in Bata for 100,Transport
Clarks India,Shopping,,Bought in Clarks India for 100,Shopping
Fila India,Shopping,,Bought in Fila India for 100,Shopping
Skechers India,Shopping,,Bought in Skechers India for 100,Shopping
Ajio,Shopping,,Bought in Ajio for 100,Shopping
Limeroad,Shopping,,Bought in Limeroad for 100,Shopping
Koovs,Shopping,,Bought in Koovs for 100,Shopping
Nykaa Fashion,Shopping,,Bought in Nykaa Fashion for 100,Shopping
ShopClues,Shopping,,Bought in ShopClues for 100,Shopping
Big Bazaar,Shopping,,Bought in Big Bazaar for 100,Food / Dining
Reliance Digital,Shopping,,Bought in Reliance Digital for 100,Entertainment
Sephora India,Shopping,,Bought in Sephora India for 100,Shopping
Hush Puppies,Shopping,,Bought in Hush Puppies for 100,Shopping
Tommy Hilfiger India,Shopping,,Bought in Tommy Hilfiger India for 100,Shopping
UCB (United Colors of Benetton) India,Shopping,,Bought in UCB (United Colors of Benetton) India for 100,Shopping
Lee India,Shopping,,Bought in Lee India for 100,Shopping
Wrangler India,Shopping,,Bought in Wrangler India for 100,Shopping
Levis India,Shopping,,Bought in Levis India for 100,Shopping
Cotton On,Shopping,,Bought in Cotton On for 100,Shopping
Country Road,Shopping,,Bought in Country Road for 100,Shopping
Witchery,Shopping,,Bought in Witchery for 100,Shopping
Sportsgirl,Shopping,,Bought in Sportsgirl for 100,Shopping
Bonds,Shopping,,Bought in Bonds for 100,Shopping
Big W,Shopping,,Bought in Big W for 100,Shopping
Kmart Australia,Shopping,,Bought in Kmart Australia for 100,Shopping
Myer,Shopping,,Bought in Myer for 100,Shopping
David Jones,Shopping,,Bought in David Jones for 100,Shopping
